scheme,n_static_groups,static_groups
S000_none,0,
S001_D,1,tcr_diversity
S002_E,1,tcr_clonal_expansion
S003_L,1,tcr_aa_length
S004_AU,1,tcr_aa_composition_unweighted
S005_AW,1,tcr_aa_composition_weighted
S006_PU,1,tcr_physicochemical_unweighted
S007_PW,1,tcr_physicochemical_weighted
S008_D_E,2,tcr_diversity|tcr_clonal_expansion
S009_D_L,2,tcr_diversity|tcr_aa_length
S010_D_AU,2,tcr_diversity|tcr_aa_composition_unweighted
S011_D_AW,2,tcr_diversity|tcr_aa_composition_weighted
S012_D_PU,2,tcr_diversity|tcr_physicochemical_unweighted
S013_D_PW,2,tcr_diversity|tcr_physicochemical_weighted
S014_E_L,2,tcr_clonal_expansion|tcr_aa_length
S015_E_AU,2,tcr_clonal_expansion|tcr_aa_composition_unweighted
S016_E_AW,2,tcr_clonal_expansion|tcr_aa_composition_weighted
S017_E_PU,2,tcr_clonal_expansion|tcr_physicochemical_unweighted
S018_E_PW,2,tcr_clonal_expansion|tcr_physicochemical_weighted
S019_L_AU,2,tcr_aa_length|tcr_aa_composition_unweighted
S020_L_AW,2,tcr_aa_length|tcr_aa_composition_weighted
S021_L_PU,2,tcr_aa_length|tcr_physicochemical_unweighted
S022_L_PW,2,tcr_aa_length|tcr_physicochemical_weighted
S023_AU_AW,2,tcr_aa_composition_unweighted|tcr_aa_composition_weighted
S024_AU_PU,2,tcr_aa_composition_unweighted|tcr_physicochemical_unweighted
S025_AU_PW,2,tcr_aa_composition_unweighted|tcr_physicochemical_weighted
S026_AW_PU,2,tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S027_AW_PW,2,tcr_aa_composition_weighted|tcr_physicochemical_weighted
S028_PU_PW,2,tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S029_D_E_L,3,tcr_diversity|tcr_clonal_expansion|tcr_aa_length
S030_D_E_AU,3,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_unweighted
S031_D_E_AW,3,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_weighted
S032_D_E_PU,3,tcr_diversity|tcr_clonal_expansion|tcr_physicochemical_unweighted
S033_D_E_PW,3,tcr_diversity|tcr_clonal_expansion|tcr_physicochemical_weighted
S034_D_L_AU,3,tcr_diversity|tcr_aa_length|tcr_aa_composition_unweighted
S035_D_L_AW,3,tcr_diversity|tcr_aa_length|tcr_aa_composition_weighted
S036_D_L_PU,3,tcr_diversity|tcr_aa_length|tcr_physicochemical_unweighted
S037_D_L_PW,3,tcr_diversity|tcr_aa_length|tcr_physicochemical_weighted
S038_D_AU_AW,3,tcr_diversity|tcr_aa_composition_unweighted|tcr_aa_composition_weighted
S039_D_AU_PU,3,tcr_diversity|tcr_aa_composition_unweighted|tcr_physicochemical_unweighted
S040_D_AU_PW,3,tcr_diversity|tcr_aa_composition_unweighted|tcr_physicochemical_weighted
S041_D_AW_PU,3,tcr_diversity|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S042_D_AW_PW,3,tcr_diversity|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S043_D_PU_PW,3,tcr_diversity|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S044_E_L_AU,3,tcr_clonal_expansion|tcr_aa_length|tcr_aa_composition_unweighted
S045_E_L_AW,3,tcr_clonal_expansion|tcr_aa_length|tcr_aa_composition_weighted
S046_E_L_PU,3,tcr_clonal_expansion|tcr_aa_length|tcr_physicochemical_unweighted
S047_E_L_PW,3,tcr_clonal_expansion|tcr_aa_length|tcr_physicochemical_weighted
S048_E_AU_AW,3,tcr_clonal_expansion|tcr_aa_composition_unweighted|tcr_aa_composition_weighted
S049_E_AU_PU,3,tcr_clonal_expansion|tcr_aa_composition_unweighted|tcr_physicochemical_unweighted
S050_E_AU_PW,3,tcr_clonal_expansion|tcr_aa_composition_unweighted|tcr_physicochemical_weighted
S051_E_AW_PU,3,tcr_clonal_expansion|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S052_E_AW_PW,3,tcr_clonal_expansion|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S053_E_PU_PW,3,tcr_clonal_expansion|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S054_L_AU_AW,3,tcr_aa_length|tcr_aa_composition_unweighted|tcr_aa_composition_weighted
S055_L_AU_PU,3,tcr_aa_length|tcr_aa_composition_unweighted|tcr_physicochemical_unweighted
S056_L_AU_PW,3,tcr_aa_length|tcr_aa_composition_unweighted|tcr_physicochemical_weighted
S057_L_AW_PU,3,tcr_aa_length|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S058_L_AW_PW,3,tcr_aa_length|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S059_L_PU_PW,3,tcr_aa_length|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S060_AU_AW_PU,3,tcr_aa_composition_unweighted|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S061_AU_AW_PW,3,tcr_aa_composition_unweighted|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S062_AU_PU_PW,3,tcr_aa_composition_unweighted|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S063_AW_PU_PW,3,tcr_aa_composition_weighted|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S064_D_E_L_AU,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_length|tcr_aa_composition_unweighted
S065_D_E_L_AW,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_length|tcr_aa_composition_weighted
S066_D_E_L_PU,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_length|tcr_physicochemical_unweighted
S067_D_E_L_PW,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_length|tcr_physicochemical_weighted
S068_D_E_AU_AW,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_unweighted|tcr_aa_composition_weighted
S069_D_E_AU_PU,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_unweighted|tcr_physicochemical_unweighted
S070_D_E_AU_PW,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_unweighted|tcr_physicochemical_weighted
S071_D_E_AW_PU,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S072_D_E_AW_PW,4,tcr_diversity|tcr_clonal_expansion|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S073_D_E_PU_PW,4,tcr_diversity|tcr_clonal_expansion|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S074_D_L_AU_AW,4,tcr_diversity|tcr_aa_length|tcr_aa_composition_unweighted|tcr_aa_composition_weighted
S075_D_L_AU_PU,4,tcr_diversity|tcr_aa_length|tcr_aa_composition_unweighted|tcr_physicochemical_unweighted
S076_D_L_AU_PW,4,tcr_diversity|tcr_aa_length|tcr_aa_composition_unweighted|tcr_physicochemical_weighted
S077_D_L_AW_PU,4,tcr_diversity|tcr_aa_length|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S078_D_L_AW_PW,4,tcr_diversity|tcr_aa_length|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S079_D_L_PU_PW,4,tcr_diversity|tcr_aa_length|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
S080_D_AU_AW_PU,4,tcr_diversity|tcr_aa_composition_unweighted|tcr_aa_composition_weighted|tcr_physicochemical_unweighted
S081_D_AU_AW_PW,4,tcr_diversity|tcr_aa_composition_unweighted|tcr_aa_composition_weighted|tcr_physicochemical_weighted
S082_D_AU_PU_PW,4,tcr_diversity|tcr_aa_composition_unweighted|tcr_physicochemical_unweighted|tcr_physicochemical_weighted
