cohort,scheme,experiment_id,config_path
pbmc,S000_none,layer1_pbmc_all128_top10000_S000_none,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S000_none.yaml
pbmc,S001_D,layer1_pbmc_all128_top10000_S001_D,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S001_D.yaml
pbmc,S002_E,layer1_pbmc_all128_top10000_S002_E,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S002_E.yaml
pbmc,S003_L,layer1_pbmc_all128_top10000_S003_L,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S003_L.yaml
pbmc,S004_AU,layer1_pbmc_all128_top10000_S004_AU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S004_AU.yaml
pbmc,S005_AW,layer1_pbmc_all128_top10000_S005_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S005_AW.yaml
pbmc,S006_PU,layer1_pbmc_all128_top10000_S006_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S006_PU.yaml
pbmc,S007_PW,layer1_pbmc_all128_top10000_S007_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S007_PW.yaml
pbmc,S008_D_E,layer1_pbmc_all128_top10000_S008_D_E,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S008_D_E.yaml
pbmc,S009_D_L,layer1_pbmc_all128_top10000_S009_D_L,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S009_D_L.yaml
pbmc,S010_D_AU,layer1_pbmc_all128_top10000_S010_D_AU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S010_D_AU.yaml
pbmc,S011_D_AW,layer1_pbmc_all128_top10000_S011_D_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S011_D_AW.yaml
pbmc,S012_D_PU,layer1_pbmc_all128_top10000_S012_D_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S012_D_PU.yaml
pbmc,S013_D_PW,layer1_pbmc_all128_top10000_S013_D_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S013_D_PW.yaml
pbmc,S014_E_L,layer1_pbmc_all128_top10000_S014_E_L,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S014_E_L.yaml
pbmc,S015_E_AU,layer1_pbmc_all128_top10000_S015_E_AU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S015_E_AU.yaml
pbmc,S016_E_AW,layer1_pbmc_all128_top10000_S016_E_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S016_E_AW.yaml
pbmc,S017_E_PU,layer1_pbmc_all128_top10000_S017_E_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S017_E_PU.yaml
pbmc,S018_E_PW,layer1_pbmc_all128_top10000_S018_E_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S018_E_PW.yaml
pbmc,S019_L_AU,layer1_pbmc_all128_top10000_S019_L_AU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S019_L_AU.yaml
pbmc,S020_L_AW,layer1_pbmc_all128_top10000_S020_L_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S020_L_AW.yaml
pbmc,S021_L_PU,layer1_pbmc_all128_top10000_S021_L_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S021_L_PU.yaml
pbmc,S022_L_PW,layer1_pbmc_all128_top10000_S022_L_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S022_L_PW.yaml
pbmc,S023_AU_AW,layer1_pbmc_all128_top10000_S023_AU_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S023_AU_AW.yaml
pbmc,S024_AU_PU,layer1_pbmc_all128_top10000_S024_AU_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S024_AU_PU.yaml
pbmc,S025_AU_PW,layer1_pbmc_all128_top10000_S025_AU_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S025_AU_PW.yaml
pbmc,S026_AW_PU,layer1_pbmc_all128_top10000_S026_AW_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S026_AW_PU.yaml
pbmc,S027_AW_PW,layer1_pbmc_all128_top10000_S027_AW_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S027_AW_PW.yaml
pbmc,S028_PU_PW,layer1_pbmc_all128_top10000_S028_PU_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S028_PU_PW.yaml
pbmc,S029_D_E_L,layer1_pbmc_all128_top10000_S029_D_E_L,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S029_D_E_L.yaml
pbmc,S030_D_E_AU,layer1_pbmc_all128_top10000_S030_D_E_AU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S030_D_E_AU.yaml
pbmc,S031_D_E_AW,layer1_pbmc_all128_top10000_S031_D_E_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S031_D_E_AW.yaml
pbmc,S032_D_E_PU,layer1_pbmc_all128_top10000_S032_D_E_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S032_D_E_PU.yaml
pbmc,S033_D_E_PW,layer1_pbmc_all128_top10000_S033_D_E_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S033_D_E_PW.yaml
pbmc,S034_D_L_AU,layer1_pbmc_all128_top10000_S034_D_L_AU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S034_D_L_AU.yaml
pbmc,S035_D_L_AW,layer1_pbmc_all128_top10000_S035_D_L_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S035_D_L_AW.yaml
pbmc,S036_D_L_PU,layer1_pbmc_all128_top10000_S036_D_L_PU,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S036_D_L_PU.yaml
pbmc,S037_D_L_PW,layer1_pbmc_all128_top10000_S037_D_L_PW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S037_D_L_PW.yaml
pbmc,S038_D_AU_AW,layer1_pbmc_all128_top10000_S038_D_AU_AW,TRB/set/configs/experiments/layer1_material_all128_top10000_static_v1/pbmc/S038_D_AU_AW.yaml
