algorithm,architecture,feature_state,kmer500,ra_dict_hit_rate,experiment_id,config_path
elastic_net,A0_none,F0_static,False,False,layer2_top10000_elastic_net_A0_none_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A0_none_F0_static.yaml
elastic_net,A0_none,F1_kmer500,True,False,layer2_top10000_elastic_net_A0_none_F1_kmer500,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A0_none_F1_kmer500.yaml
elastic_net,A0_none,F2_ra_hit,False,True,layer2_top10000_elastic_net_A0_none_F2_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A0_none_F2_ra_hit.yaml
elastic_net,A0_none,F3_kmer500_ra_hit,True,True,layer2_top10000_elastic_net_A0_none_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A0_none_F3_kmer500_ra_hit.yaml
elastic_net,A1_PW,F0_static,False,False,layer2_top10000_elastic_net_A1_PW_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A1_PW_F0_static.yaml
elastic_net,A1_PW,F1_kmer500,True,False,layer2_top10000_elastic_net_A1_PW_F1_kmer500,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A1_PW_F1_kmer500.yaml
elastic_net,A1_PW,F2_ra_hit,False,True,layer2_top10000_elastic_net_A1_PW_F2_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A1_PW_F2_ra_hit.yaml
elastic_net,A1_PW,F3_kmer500_ra_hit,True,True,layer2_top10000_elastic_net_A1_PW_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A1_PW_F3_kmer500_ra_hit.yaml
elastic_net,A2_AW,F0_static,False,False,layer2_top10000_elastic_net_A2_AW_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A2_AW_F0_static.yaml
elastic_net,A2_AW,F1_kmer500,True,False,layer2_top10000_elastic_net_A2_AW_F1_kmer500,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A2_AW_F1_kmer500.yaml
elastic_net,A2_AW,F2_ra_hit,False,True,layer2_top10000_elastic_net_A2_AW_F2_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A2_AW_F2_ra_hit.yaml
elastic_net,A2_AW,F3_kmer500_ra_hit,True,True,layer2_top10000_elastic_net_A2_AW_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A2_AW_F3_kmer500_ra_hit.yaml
elastic_net,A3_AW_PW,F0_static,False,False,layer2_top10000_elastic_net_A3_AW_PW_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A3_AW_PW_F0_static.yaml
elastic_net,A3_AW_PW,F1_kmer500,True,False,layer2_top10000_elastic_net_A3_AW_PW_F1_kmer500,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A3_AW_PW_F1_kmer500.yaml
elastic_net,A3_AW_PW,F2_ra_hit,False,True,layer2_top10000_elastic_net_A3_AW_PW_F2_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A3_AW_PW_F2_ra_hit.yaml
elastic_net,A3_AW_PW,F3_kmer500_ra_hit,True,True,layer2_top10000_elastic_net_A3_AW_PW_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/elastic_net/A3_AW_PW_F3_kmer500_ra_hit.yaml
lasso,A0_none,F0_static,False,False,layer2_top10000_lasso_A0_none_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A0_none_F0_static.yaml
lasso,A0_none,F1_kmer500,True,False,layer2_top10000_lasso_A0_none_F1_kmer500,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A0_none_F1_kmer500.yaml
lasso,A0_none,F2_ra_hit,False,True,layer2_top10000_lasso_A0_none_F2_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A0_none_F2_ra_hit.yaml
lasso,A0_none,F3_kmer500_ra_hit,True,True,layer2_top10000_lasso_A0_none_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A0_none_F3_kmer500_ra_hit.yaml
lasso,A1_PW,F0_static,False,False,layer2_top10000_lasso_A1_PW_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A1_PW_F0_static.yaml
lasso,A1_PW,F1_kmer500,True,False,layer2_top10000_lasso_A1_PW_F1_kmer500,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A1_PW_F1_kmer500.yaml
lasso,A1_PW,F2_ra_hit,False,True,layer2_top10000_lasso_A1_PW_F2_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A1_PW_F2_ra_hit.yaml
lasso,A1_PW,F3_kmer500_ra_hit,True,True,layer2_top10000_lasso_A1_PW_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A1_PW_F3_kmer500_ra_hit.yaml
lasso,A2_AW,F0_static,False,False,layer2_top10000_lasso_A2_AW_F0_static,TRB/set/configs/experiments/layer2_incremental_top10000_v1/lasso/A2_AW_F0_static.yaml
