cohort,scheme,feature_state,experiment_id,config_path
total,S042_D_AW_PW,F1_kmer500,layer3_total_S042_D_AW_PW_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/total/S042_D_AW_PW_F1_kmer500.yaml
total,S042_D_AW_PW,F2_ra_hit,layer3_total_S042_D_AW_PW_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/total/S042_D_AW_PW_F2_ra_hit.yaml
total,S042_D_AW_PW,F3_kmer500_ra_hit,layer3_total_S042_D_AW_PW_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/total/S042_D_AW_PW_F3_kmer500_ra_hit.yaml
total,S081_D_AU_AW_PW,F1_kmer500,layer3_total_S081_D_AU_AW_PW_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/total/S081_D_AU_AW_PW_F1_kmer500.yaml
total,S081_D_AU_AW_PW,F2_ra_hit,layer3_total_S081_D_AU_AW_PW_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/total/S081_D_AU_AW_PW_F2_ra_hit.yaml
total,S081_D_AU_AW_PW,F3_kmer500_ra_hit,layer3_total_S081_D_AU_AW_PW_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/total/S081_D_AU_AW_PW_F3_kmer500_ra_hit.yaml
pbmc,S000_none,F1_kmer500,layer3_pbmc_S000_none_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S000_none_F1_kmer500.yaml
pbmc,S000_none,F2_ra_hit,layer3_pbmc_S000_none_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S000_none_F2_ra_hit.yaml
pbmc,S000_none,F3_kmer500_ra_hit,layer3_pbmc_S000_none_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S000_none_F3_kmer500_ra_hit.yaml
pbmc,S006_PU,F1_kmer500,layer3_pbmc_S006_PU_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S006_PU_F1_kmer500.yaml
pbmc,S006_PU,F2_ra_hit,layer3_pbmc_S006_PU_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S006_PU_F2_ra_hit.yaml
pbmc,S006_PU,F3_kmer500_ra_hit,layer3_pbmc_S006_PU_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S006_PU_F3_kmer500_ra_hit.yaml
pbmc,S017_E_PU,F1_kmer500,layer3_pbmc_S017_E_PU_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S017_E_PU_F1_kmer500.yaml
pbmc,S017_E_PU,F2_ra_hit,layer3_pbmc_S017_E_PU_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S017_E_PU_F2_ra_hit.yaml
pbmc,S017_E_PU,F3_kmer500_ra_hit,layer3_pbmc_S017_E_PU_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S017_E_PU_F3_kmer500_ra_hit.yaml
pbmc,S004_AU,F1_kmer500,layer3_pbmc_S004_AU_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S004_AU_F1_kmer500.yaml
pbmc,S004_AU,F2_ra_hit,layer3_pbmc_S004_AU_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S004_AU_F2_ra_hit.yaml
pbmc,S004_AU,F3_kmer500_ra_hit,layer3_pbmc_S004_AU_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S004_AU_F3_kmer500_ra_hit.yaml
pbmc,S001_D,F1_kmer500,layer3_pbmc_S001_D_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S001_D_F1_kmer500.yaml
pbmc,S001_D,F2_ra_hit,layer3_pbmc_S001_D_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S001_D_F2_ra_hit.yaml
pbmc,S001_D,F3_kmer500_ra_hit,layer3_pbmc_S001_D_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S001_D_F3_kmer500_ra_hit.yaml
pbmc,S012_D_PU,F1_kmer500,layer3_pbmc_S012_D_PU_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S012_D_PU_F1_kmer500.yaml
pbmc,S012_D_PU,F2_ra_hit,layer3_pbmc_S012_D_PU_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S012_D_PU_F2_ra_hit.yaml
pbmc,S012_D_PU,F3_kmer500_ra_hit,layer3_pbmc_S012_D_PU_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/pbmc/S012_D_PU_F3_kmer500_ra_hit.yaml
buffycoat,S000_none,F1_kmer500,layer3_buffycoat_S000_none_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/buffycoat/S000_none_F1_kmer500.yaml
buffycoat,S000_none,F2_ra_hit,layer3_buffycoat_S000_none_F2_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/buffycoat/S000_none_F2_ra_hit.yaml
buffycoat,S000_none,F3_kmer500_ra_hit,layer3_buffycoat_S000_none_F3_kmer500_ra_hit,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/buffycoat/S000_none_F3_kmer500_ra_hit.yaml
buffycoat,S012_D_PU,F1_kmer500,layer3_buffycoat_S012_D_PU_F1_kmer500,TRB/set/configs/experiments/layer3_selected5_incremental_top10000_v1/buffycoat/S012_D_PU_F1_kmer500.yaml
